plz,ort,grundversorger,gv_tarif_stichtag_alt,gv_ap_stichtag_alt,gv_gp_stichtag_alt,gv_gesamtpreis_stichtag_alt,gv_tarif_stichtag_neu,gv_ap_stichtag_neu,gv_gp_stichtag_neu,gv_gesamtpreis_stichtag_neu,differenz_gv_gesamtpreis,sondertarif_stichtag_alt,sondertarif_stichtag_alt_ap,sondertarif_stichtag_alt_gp,sondertarif_stichtag_alt_gesamtpreis,sondertarif_stichtag_neu,sondertarif_stichtag_neu_ap,sondertarif_neu_gp,sondertarif_stichtag_neu_gesamtpreis,differenz_sondertarif_stichtag_alt_stichtag_neu,PLZ_FirstDigit
09249,Taura,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06369,Löbnitz an der Linde,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.4,121.04,870.04,SimplyFair Tarif,20.86639,141.5378,871.86145,1.82145,0
02943,Weißwasser,Stadtwerke Weißwasser GmbH,Grundversorgung,35.467,109.83,1351.175,Grundversorgung,35.467,109.83,1351.175,0.0,strompur,21.53782,128.037,881.8607,KlickStrom24 plus,21.32,129.81,876.01,-5.8507,0
06528,Riethnordhausen,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06647,Finne,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
07751,Jena,Stadtwerke Energie Jena-Pößneck GmbH,jenaturStrom Grundversorgung,41.35,110.7,1557.95,jenaturStrom Grundversorgung,41.35,110.7,1557.95,0.0,NEWfair Strom 3 ,21.27,108.66,853.11,SimplyFair Tarif,20.73639,129.1597,854.93335,1.82335,0
08539,Rodau,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06537,Kelbra,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
09481,Elterlein,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
06779,Raguhn-Jeßnitz,envia Mitteldeutsche Energie AG,enviaM regio,36.567,112.92,1392.765,enviaM regio,31.857,112.92,1227.915,-164.85,NEWfair Strom 3 ,21.13,121.04,860.59,SimplyFair Tarif,20.59639,141.5378,862.41145,1.82145,0
